Key,da,en,zh
1,at give tilladelse,Authorization,授权
2,unormal,Exception,异常
3,Eksportér til Excel,Export Excel,导出 Excel
4,Eksport mislykkedes,Export fail,导出失败
5,Eksport vellykket,Export Success,导出成功
6,niveau,Level,级别
7,journal,Logs,日志
8,niveau,Logs Level,级别
9,oplysninger,Message,信息
10,Skabelon,Message Template,模板
11,attribut,Properties,属性
12,søg,Search,搜索
13,可用功能,See all available options,Tilgængeligeunktioner
14,tid,Time Stamp,时间
15,at give tilladelse,Authorization,授权
16,unormal,Exception,异常
17,Eksportér til Excel,Export Excel,导出 Excel
18,Eksport mislykkedes,Export fail,导出失败
19,Eksport vellykket,Export Success,导出成功
20,niveau,Level,级别
21,journal,Logs,日志
22,niveau,Logs Level,级别
23,oplysninger,Message,信息
24,Skabelon,Message Template,模板
25,attribut,Properties,属性
26,søg,Search,搜索
27,可用功能,See all available options,Tilgængeligeunktioner
28,tid,Time Stamp,时间
29,at give tilladelse,Authorization,授权
30,unormal,Exception,异常
31,Eksportér til Excel,Export Excel,导出 Excel
32,Eksport mislykkedes,Export fail,导出失败
33,Eksport vellykket,Export Success,导出成功
34,niveau,Level,级别
35,journal,Logs,日志
36,niveau,Logs Level,级别
37,oplysninger,Message,信息
38,Skabelon,Message Template,模板
39,attribut,Properties,属性
40,søg,Search,搜索
41,可用功能,See all available options,Tilgængeligeunktioner
42,tid,Time Stamp,时间
43,at give tilladelse,Authorization,授权
44,unormal,Exception,异常
45,Eksportér til Excel,Export Excel,导出 Excel
46,Eksport mislykkedes,Export fail,导出失败
47,Eksport vellykket,Export Success,导出成功
48,niveau,Level,级别
49,journal,Logs,日志
50,niveau,Logs Level,级别
51,oplysninger,Message,信息
52,Skabelon,Message Template,模板
53,attribut,Properties,属性
54,søg,Search,搜索
55,可用功能,See all available options,Tilgængeligeunktioner
56,tid,Time Stamp,时间
57,at give tilladelse,Authorization,授权
58,unormal,Exception,异常
59,Eksportér til Excel,Export Excel,导出 Excel
60,Eksport mislykkedes,Export fail,导出失败
61,Eksport vellykket,Export Success,导出成功
62,niveau,Level,级别
63,journal,Logs,日志
64,niveau,Logs Level,级别
65,oplysninger,Message,信息
66,Skabelon,Message Template,模板
67,attribut,Properties,属性
68,søg,Search,搜索
69,可用功能,See all available options,Tilgængeligeunktioner
70,tid,Time Stamp,时间
71,at give tilladelse,Authorization,授权
72,unormal,Exception,异常
73,Eksportér til Excel,Export Excel,导出 Excel
74,Eksport mislykkedes,Export fail,导出失败
75,Eksport vellykket,Export Success,导出成功
76,niveau,Level,级别
77,journal,Logs,日志
78,niveau,Logs Level,级别
79,oplysninger,Message,信息
80,Skabelon,Message Template,模板
81,attribut,Properties,属性
82,søg,Search,搜索
83,可用功能,See all available options,Tilgængeligeunktioner
84,tid,Time Stamp,时间
85,at give tilladelse,Authorization,授权
86,unormal,Exception,异常
87,Eksportér til Excel,Export Excel,导出 Excel
88,Eksport mislykkedes,Export fail,导出失败
89,Eksport vellykket,Export Success,导出成功
90,niveau,Level,级别
91,journal,Logs,日志
92,niveau,Logs Level,级别
93,oplysninger,Message,信息
94,Skabelon,Message Template,模板
95,attribut,Properties,属性
96,søg,Search,搜索
97,可用功能,See all available options,Tilgængeligeunktioner
98,tid,Time Stamp,时间
99,at give tilladelse,Authorization,授权
100,unormal,Exception,异常
101,Eksportér til Excel,Export Excel,导出 Excel
102,Eksport mislykkedes,Export fail,导出失败
103,Eksport vellykket,Export Success,导出成功
104,niveau,Level,级别
105,journal,Logs,日志
106,niveau,Logs Level,级别
107,oplysninger,Message,信息
108,Skabelon,Message Template,模板
109,attribut,Properties,属性
110,søg,Search,搜索
111,可用功能,See all available options,Tilgængeligeunktioner
