Key,NoLanguageValue,en-US,zh-CN,Comment,Translated,Error
Authorization,,Authorization,授权,,True,True
Exception,,Exception,异常,,True,True
Export Excel,,Export Excel,导出 Excel,,True,True
Export fail,,Export fail,导出失败,,True,True
Export Success,,Export Success,导出成功,,True,True
Level,,Level,级别,,True,True
Logs,,Logs,日志,,True,True
Logs Level,,Logs Level,级别,,True,True
Message,,Message,信息,,True,True
Message Template,,Message Template,模板,,True,True
Properties,,Properties,属性,,True,True
Search,,Search,搜索,,True,True
See all available options,,See all available options,可用功能,,True,True
Time Stamp,,Time Stamp,时间,,True,True
User Name,,User Name,账号,,True,True
